,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8160535117056856,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,27,13495,8.703703703703704,Low,False,True,True,False
1,3,,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8160535117056856,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,27,16500,8.703703703703704,Low,False,True,True,False
2,1,,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.8762541806020067,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000,19,26,16500,9.038461538461538,Medium,False,True,True,False
3,2,164,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.9080267558528428,54.3,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102.0,5500,24,30,13950,7.833333333333333,Low,False,True,True,False
4,2,164,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.9080267558528428,54.3,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115.0,5500,18,22,17450,10.681818181818182,Low,False,True,True,False
5,2,,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.8879598662207359,53.1,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,15250,9.4,Low,False,True,True,False
6,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.931438127090301,55.7,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,17710,9.4,Low,False,True,True,False
7,1,,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.931438127090301,55.7,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,18920,9.4,Low,False,True,True,False
8,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9347826086956522,55.9,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140.0,5500,17,20,23875,11.75,Medium,False,True,False,True
9,2,192,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.9080267558528428,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,29,16430,8.10344827586207,Low,False,True,True,False
10,0,192,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.9080267558528428,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,29,16925,8.10344827586207,Low,False,True,True,False
11,0,188,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.9080267558528428,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,21,28,20970,8.392857142857142,Medium,False,True,True,False
12,0,188,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.9080267558528428,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,21,28,21105,8.392857142857142,Medium,False,True,True,False
13,1,,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.931438127090301,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,20,25,24565,9.4,Medium,False,True,True,False
14,0,,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.931438127090301,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,16,22,30760,10.681818181818182,Medium,False,True,True,False
15,0,,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.8979933110367894,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,16,22,41315,10.681818181818182,Medium,False,True,True,False
16,0,,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.9414715719063546,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,15,20,36880,11.75,Medium,False,True,True,False
17,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8896321070234114,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100,47,53,5151,4.433962264150943,Low,False,True,True,False
18,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8695652173913044,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,38,43,6295,5.465116279069767,Low,False,True,True,False
19,0,81,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.8695652173913044,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,38,43,6575,5.465116279069767,Low,False,True,True,False
20,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8494983277591973,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500,37,41,5572,5.7317073170731705,Low,False,True,True,False
21,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8494983277591973,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6377,6.184210526315789,Low,False,True,True,False
22,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8494983277591973,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,24,30,7957,7.833333333333333,Low,False,True,False,True
23,1,148,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8461538461538463,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6229,6.184210526315789,Low,False,True,True,False
24,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8461538461538463,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,6692,6.184210526315789,Low,False,True,True,False
25,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8461538461538463,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,38,7609,6.184210526315789,Low,False,True,True,False
26,1,148,dodge,,sedan,fwd,front,93.7,0.7558865929841423,0.8461538461538463,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,24,30,8558,7.833333333333333,Low,False,True,False,True
27,-1,110,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,1.0,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000,24,30,8921,7.833333333333333,Low,False,True,True,False
28,3,145,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.8394648829431439,50.2,2811,ohc,four,156,mfi,3.60,3.90,7.0,145.0,5000,19,24,12964,9.791666666666666,Medium,False,True,False,True
